Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count,Geometry Point
Major Retail Store,THE REAL CANADIAN SUPERSTORE,11541 - KINGSWAY NW,113785457-001,ISSUED,"Aug 26, 2021","Aug 26, 2022",Kingsway,1170,Prince Rupert,O-day'min,53.565134,-113.521639,"(53.565134480065794, -113.52163879557061)",1,POINT (-113.52163879557061 53.565134480065794)
Major Retail Store,THE REAL CANADIAN SUPERSTORE,11839 - 26 AVENUE SW,234778104-002,ISSUED,"Nov 30, 2021","Nov 30, 2022",,5464,Heritage Valley Town Centre Area,Ipiihkoohkanipiaohtsi,53.408021,-113.53637,"(53.40802146310806, -113.5363696258314)",1,POINT (-113.5363696258314 53.40802146310806)
Major Retail Store,THE REAL CANADIAN SUPERSTORE,12350 - 137 AVENUE NW,7255727-001,ISSUED,"Nov 17, 2021","Dec 31, 2022",,3020,Baranow,Anirniq,53.600859,-113.536726,"(53.6008585521361, -113.53672608899377)",1,POINT (-113.53672608899377 53.6008585521361)
Major Retail Store,THE REAL CANADIAN SUPERSTORE,4950 - 137 AVENUE NW,7255274-001,ISSUED,"Dec 06, 2021","Jan 18, 2023",,2145,Clareview Town Centre,Dene,53.598775,-113.411043,"(53.59877547387475, -113.41104326546488)",1,POINT (-113.41104326546488 53.59877547387475)
Major Retail Store,THE REAL CANADIAN SUPERSTORE,9711 - 23 AVENUE NW,7436775-001,ISSUED,"Nov 22, 2021","Jan 03, 2023",,6195,South Edmonton Common,Karhiio,53.452504,-113.482264,"(53.45250440419871, -113.48226440512407)",1,POINT (-113.48226440512407 53.45250440419871)
Major Retail Store,THE REAL CANADIAN SUPERSTORE,4821 - CALGARY TRAIL NW,7250532-001,ISSUED,"Nov 19, 2021","Jan 02, 2023",,5110,Calgary Trail North,papastew,53.486777,-113.493511,"(53.486776781741526, -113.49351104585152)",1,POINT (-113.49351104585152 53.486776781741526)
Major Retail Store,THE REAL CANADIAN SUPERSTORE,17303 - STONY PLAIN ROAD NW,7262123-001,ISSUED,"Feb 18, 2021","Apr 02, 2022",,4400,Place LaRue,Nakota Isga,53.540055,-113.619889,"(53.54005543669473, -113.61988871632533)",1,POINT (-113.61988871632533 53.54005543669473)
Major Retail Store,REAL CANADIAN SUPERSTORE-2555,615 - 54 STREET SW,386092654-002,ISSUED,"Apr 20, 2021","Apr 19, 2022",,6661,Charlesworth,Karhiio,53.427105,-113.424321,"(53.427104944566075, -113.42432122711735)",1,POINT (-113.42432122711735 53.427104944566075)
Major Retail Store,THE REAL CANADIAN SUPERSTORE,4410 - 17 STREET NW,89335222-001,ISSUED,"Feb 25, 2021","Mar 10, 2022",,6390,Larkspur,Sspomitapi,53.480562,-113.373861,"(53.48056233018923, -113.37386083422807)",1,POINT (-113.37386083422807 53.48056233018923)
Major Retail Store,SAFEWAY CAPILANO CENTRE #8893,5821 - TERRACE ROAD NW,144781029-001,ISSUED,"Nov 03, 2021","Dec 16, 2022",,6550,Ottewell,Métis,53.539355,-113.425919,"(53.53935481857994, -113.4259192629643)",1,POINT (-113.4259192629643 53.53935481857994)
